trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-102.56425501172902,"{0: 12, 1: 4, 2: 8, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-143.7592147157059,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-127.6593062155235,"{0: 14, 1: 0, 2: 2, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-199.29572285793486,"{0: 17, 1: 2, 2: 7, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-88.31449084909775,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-66.40009931006335,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-102.47237609399946,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,14,-1.0521404398610916,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,1,-48.705369374860965,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,12,0.06705554015284676,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-105.22336572975308,"{0: 16, 1: 5, 2: 2, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-116.50641506523047,"{0: 10, 1: 0, 2: 7, 3: 3, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,13,1.222177350533352,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-90.11035164428519,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-43.74156098479628,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-53.37802301501419,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,11,-33.91518728693265,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",35,21,17.02994970509309,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,1,-3.9810382228287606,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,9,-7.880800092093228,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-12.310272927941325,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",30,6,21.2633149795748,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",30,0,40.63634749571897,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,5,21.518924966914447,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,0,-103.39865282406761,"{0: 13, 1: 3, 2: 0, 3: 3, 4: 1}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,0,-9.406933286196999,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-45.45209850188061,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,0,5.3995754705665835,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,4,1.757364110115534,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,0,-57.63160390980059,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
