trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-124.63860331364074,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9999995000000417}",30,0,-189.9602324005482,"{0: 14, 1: 4, 2: 8, 3: 3, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9999980000006666}",20,0,-235.98803798913212,"{0: 7, 1: 3, 2: 5, 3: 1, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.999995500003375}",20,0,-109.22747755324642,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9999920000106667}",35,0,-118.44829081667038,"{0: 26, 1: 2, 2: 4, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9999875000260416}",20,0,-21.882122622405493,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.999982000054}",20,0,-79.20843353283227,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9999755001000415}",20,0,-166.16880226571263,"{0: 11, 1: 0, 2: 4, 3: 3, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9999680001706663}",30,0,-211.86654572107722,"{0: 15, 1: 4, 2: 7, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.9999595002733742}",25,0,-201.31549035133983,"{0: 12, 1: 2, 2: 6, 3: 3, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.9999500004166653}",25,10,-36.31887162560543,"{0: 10, 1: 0, 2: 5, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.9999395006100392}",20,0,-54.202313123895,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9999280008639958}",20,0,-221.50311350817316,"{0: 9, 1: 2, 2: 4, 3: 1, 4: 4}",0
14,False,"{'a': 0.5, 'e': 0.9999155011900349}",25,0,-65.03517640073291,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.9999020016006562}",30,0,-307.0631477700683,"{0: 12, 1: 3, 2: 8, 3: 3, 4: 4}",0
16,False,"{'a': 0.5, 'e': 0.9998875021093592}",30,0,-206.49149842330985,"{0: 16, 1: 1, 2: 10, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.9998720027306434}",30,0,-182.25540100541056,"{0: 20, 1: 4, 2: 2, 3: 0, 4: 4}",0
18,False,"{'a': 0.5, 'e': 0.9998555034800082}",20,0,-50.414387147183874,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
