trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,9,0.10819828667588371,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 1.0}",35,0,-184.93374177492737,"{0: 16, 1: 7, 2: 9, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-120.64329578612093,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-118.43374797875306,"{0: 9, 1: 6, 2: 2, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-81.49529222931137,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-156.45008920769192,"{0: 8, 1: 1, 2: 8, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-66.09535741396682,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-91.4272555445923,"{0: 9, 1: 4, 2: 6, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-47.34970647970289,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-139.62717676716696,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-88.16554843823421,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-88.39016284430618,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-190.91874183352814,"{0: 12, 1: 5, 2: 4, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-161.17399033603667,"{0: 11, 1: 7, 2: 5, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-197.1842274897707,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-166.39180590814158,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-80.42203747508225,"{0: 13, 1: 0, 2: 4, 3: 3, 4: 0}",1
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-117.43059186668162,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-78.06275438330466,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-104.45317569332762,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,3,-88.12462403357813,"{0: 15, 1: 1, 2: 4, 3: 1, 4: 1}",1
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-31.337887888360427,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-205.93827128369426,"{0: 18, 1: 3, 2: 3, 3: 3, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-172.71049235760216,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-65.13081322225925,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-29.821236437125467,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-52.972735997296176,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-190.4822824657365,"{0: 10, 1: 1, 2: 4, 3: 2, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-78.30047189817502,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-102.07730697815313,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
